miss_id,miss_char,miss_count,created_at,updated_at,user_id
54,g,61,2025-04-02 01:34:05.969116+00,2025-06-13 00:44:05.253028+00,99f7fcb9-8b5e-4cdd-a371-35d9c2a8a200
387,z,17,2025-04-04 07:55:13.128235+00,2025-06-11 08:14:51.098042+00,99f7fcb9-8b5e-4cdd-a371-35d9c2a8a200
55,d,74,2025-04-02 01:34:05.970484+00,2025-06-11 08:11:41.350503+00,99f7fcb9-8b5e-4cdd-a371-35d9c2a8a200
33,m,8,2025-04-02 01:34:02.719216+00,2025-04-09 08:02:57.284343+00,318b4c0b-52f5-43c0-ad13-b41e1baf03c9
66,h,153,2025-04-02 01:34:06.446172+00,2025-06-12 07:23:10.317696+00,9f27d136-09de-407f-b405-7120b2d55daa
104,e,469,2025-04-02 01:34:13.389882+00,2025-06-12 10:41:33.751962+00,683c0b43-1d2d-4e5a-b3ee-00de940a021c
24,s,665,2025-04-02 01:34:00.557778+00,2025-06-12 06:44:37.586024+00,29a91abd-7963-46c8-96ff-3a074cf2d6f5
101,i,529,2025-04-02 01:34:13.385725+00,2025-06-12 10:41:33.753276+00,683c0b43-1d2d-4e5a-b3ee-00de940a021c
99,n,472,2025-04-02 01:34:13.383003+00,2025-06-12 10:41:33.754577+00,683c0b43-1d2d-4e5a-b3ee-00de940a021c
68,s,249,2025-04-02 01:34:06.448857+00,2025-06-12 07:23:10.318989+00,9f27d136-09de-407f-b405-7120b2d55daa
67,n,410,2025-04-02 01:34:06.44752+00,2025-06-12 07:23:10.32035+00,9f27d136-09de-407f-b405-7120b2d55daa
28,w,166,2025-04-02 01:34:00.563191+00,2025-06-12 05:43:10.728533+00,29a91abd-7963-46c8-96ff-3a074cf2d6f5
30,i,67,2025-04-02 01:34:02.715196+00,2025-04-09 08:02:57.286169+00,318b4c0b-52f5-43c0-ad13-b41e1baf03c9
57,h,111,2025-04-02 01:34:05.973169+00,2025-06-13 00:44:05.254319+00,99f7fcb9-8b5e-4cdd-a371-35d9c2a8a200
44,y,130,2025-04-02 01:34:05.954973+00,2025-06-13 00:44:05.255657+00,99f7fcb9-8b5e-4cdd-a371-35d9c2a8a200
64,o,436,2025-04-02 01:34:06.443488+00,2025-06-12 07:23:10.322955+00,9f27d136-09de-407f-b405-7120b2d55daa
98,o,496,2025-04-02 01:34:13.38111+00,2025-06-12 10:41:33.75587+00,683c0b43-1d2d-4e5a-b3ee-00de940a021c
9,a,7,2025-03-27 02:20:21.83313+00,2025-04-03 10:23:33.747883+00,ab2d5d1d-c013-4486-8313-a96500b7b6b7
32,a,55,2025-04-02 01:34:02.717875+00,2025-04-09 08:02:57.28885+00,318b4c0b-52f5-43c0-ad13-b41e1baf03c9
40,o,29,2025-04-02 01:34:02.728639+00,2025-04-09 08:02:57.292832+00,318b4c0b-52f5-43c0-ad13-b41e1baf03c9
100,h,161,2025-04-02 01:34:13.384396+00,2025-06-12 10:41:33.759786+00,683c0b43-1d2d-4e5a-b3ee-00de940a021c
19,g,167,2025-04-02 01:34:00.55108+00,2025-06-12 06:44:37.59129+00,29a91abd-7963-46c8-96ff-3a074cf2d6f5
15,t,648,2025-04-02 01:34:00.545653+00,2025-06-12 06:44:37.59387+00,29a91abd-7963-46c8-96ff-3a074cf2d6f5
60,m,143,2025-04-02 01:34:06.437674+00,2025-06-12 07:23:10.32427+00,9f27d136-09de-407f-b405-7120b2d55daa
27,e,676,2025-04-02 01:34:00.561844+00,2025-06-12 06:44:37.596474+00,29a91abd-7963-46c8-96ff-3a074cf2d6f5
25,z,122,2025-04-02 01:34:00.559129+00,2025-06-12 05:43:10.733734+00,29a91abd-7963-46c8-96ff-3a074cf2d6f5
11,n,6,2025-03-27 02:20:21.835784+00,2025-04-03 10:23:33.741103+00,ab2d5d1d-c013-4486-8313-a96500b7b6b7
7,i,8,2025-03-27 02:20:21.830467+00,2025-04-03 10:23:33.743521+00,ab2d5d1d-c013-4486-8313-a96500b7b6b7
12,n,656,2025-04-02 01:34:00.53976+00,2025-06-12 06:44:37.597765+00,29a91abd-7963-46c8-96ff-3a074cf2d6f5
3,k,4,2025-03-27 02:20:21.825165+00,2025-04-03 10:23:33.746585+00,ab2d5d1d-c013-4486-8313-a96500b7b6b7
2,u,9,2025-03-27 02:20:21.823804+00,2025-04-03 10:23:33.749176+00,ab2d5d1d-c013-4486-8313-a96500b7b6b7
5,o,7,2025-03-27 02:20:21.827829+00,2025-04-03 10:23:33.751953+00,ab2d5d1d-c013-4486-8313-a96500b7b6b7
1,s,6,2025-03-27 02:20:21.816912+00,2025-04-03 10:23:33.753254+00,ab2d5d1d-c013-4486-8313-a96500b7b6b7
8,w,2,2025-03-27 02:20:21.831816+00,2025-04-03 10:23:33.754552+00,ab2d5d1d-c013-4486-8313-a96500b7b6b7
42,s,17,2025-04-02 01:34:02.731325+00,2025-04-09 08:02:57.294162+00,318b4c0b-52f5-43c0-ad13-b41e1baf03c9
35,k,40,2025-04-02 01:34:02.721864+00,2025-04-09 08:02:57.295496+00,318b4c0b-52f5-43c0-ad13-b41e1baf03c9
36,u,36,2025-04-02 01:34:02.723235+00,2025-04-09 08:02:57.296818+00,318b4c0b-52f5-43c0-ad13-b41e1baf03c9
41,d,10,2025-04-02 01:34:02.729988+00,2025-04-09 08:02:57.298124+00,318b4c0b-52f5-43c0-ad13-b41e1baf03c9
22,u,610,2025-04-02 01:34:00.555103+00,2025-06-12 06:44:37.599052+00,29a91abd-7963-46c8-96ff-3a074cf2d6f5
103,k,323,2025-04-02 01:34:13.388386+00,2025-06-12 05:38:18.206142+00,683c0b43-1d2d-4e5a-b3ee-00de940a021c
14,o,755,2025-04-02 01:34:00.5443+00,2025-06-12 06:44:37.601729+00,29a91abd-7963-46c8-96ff-3a074cf2d6f5
62,k,285,2025-04-02 01:34:06.440802+00,2025-06-12 07:19:21.120952+00,9f27d136-09de-407f-b405-7120b2d55daa
401,p,24,2025-04-07 01:13:58.947582+00,2025-06-12 07:19:21.123576+00,9f27d136-09de-407f-b405-7120b2d55daa
29,b,4,2025-04-02 01:34:02.713402+00,2025-04-04 02:06:20.101068+00,318b4c0b-52f5-43c0-ad13-b41e1baf03c9
140,t,338,2025-04-02 01:34:37.955152+00,2025-06-13 01:33:29.180569+00,ff7cd6c3-bd30-42e3-987e-3fafeaea72e9
109,w,95,2025-04-02 01:34:13.398192+00,2025-06-12 10:41:33.762499+00,683c0b43-1d2d-4e5a-b3ee-00de940a021c
210,a,139,2025-04-02 01:40:49.144924+00,2025-06-13 00:51:37.737044+00,522f3d6d-e633-426b-bf51-b50dee27ec96
121,z,26,2025-04-02 01:34:17.546362+00,2025-06-12 09:22:43.945479+00,5f19c80d-8883-42f3-9257-f9f899f703d9
188,o,68,2025-04-02 01:39:56.645739+00,2025-05-23 00:20:20.195879+00,78d9548f-bbcf-4129-a8a7-e0a841a295b3
155,h,353,2025-04-02 01:39:22.295718+00,2025-06-11 08:29:23.371642+00,7b341d92-c6ef-4d5d-bf17-6551f9842b9f
191,z,22,2025-04-02 01:39:56.649702+00,2025-05-12 03:58:03.715103+00,78d9548f-bbcf-4129-a8a7-e0a841a295b3
195,u,37,2025-04-02 01:40:08.438955+00,2025-06-11 08:35:41.860345+00,6bdcd97d-6502-462a-84f1-b5d3afefa313
148,n,771,2025-04-02 01:39:22.286462+00,2025-06-11 08:29:23.374266+00,7b341d92-c6ef-4d5d-bf17-6551f9842b9f
152,r,937,2025-04-02 01:39:22.291742+00,2025-06-11 08:29:23.376856+00,7b341d92-c6ef-4d5d-bf17-6551f9842b9f
160,a,423,2025-04-02 01:39:49.013936+00,2025-06-12 10:53:00.242687+00,575e0431-1085-4d49-9191-86fd4695b554
211,e,142,2025-04-02 01:40:49.146252+00,2025-06-13 00:51:37.740058+00,522f3d6d-e633-426b-bf51-b50dee27ec96
206,e,31,2025-04-02 01:40:08.453523+00,2025-06-11 08:38:56.251644+00,6bdcd97d-6502-462a-84f1-b5d3afefa313
113,b,32,2025-04-02 01:34:13.403484+00,2025-06-09 05:05:46.669454+00,683c0b43-1d2d-4e5a-b3ee-00de940a021c
153,o,1045,2025-04-02 01:39:22.293068+00,2025-06-11 08:29:23.378135+00,7b341d92-c6ef-4d5d-bf17-6551f9842b9f
213,u,107,2025-04-02 01:40:49.148886+00,2025-06-13 00:51:37.742631+00,522f3d6d-e633-426b-bf51-b50dee27ec96
118,i,317,2025-04-02 01:34:17.542399+00,2025-06-12 10:50:46.071778+00,5f19c80d-8883-42f3-9257-f9f899f703d9
144,i,1017,2025-04-02 01:39:22.281135+00,2025-06-11 08:29:23.382102+00,7b341d92-c6ef-4d5d-bf17-6551f9842b9f
185,a,108,2025-04-02 01:39:56.6418+00,2025-05-23 00:20:20.197558+00,78d9548f-bbcf-4129-a8a7-e0a841a295b3
137,k,55,2025-04-02 01:34:37.951013+00,2025-06-11 02:21:56.197873+00,ff7cd6c3-bd30-42e3-987e-3fafeaea72e9
200,f,10,2025-04-02 01:40:08.445543+00,2025-06-02 05:48:49.281633+00,6bdcd97d-6502-462a-84f1-b5d3afefa313
187,p,6,2025-04-02 01:39:56.644428+00,2025-05-22 05:25:25.616088+00,78d9548f-bbcf-4129-a8a7-e0a841a295b3
183,m,28,2025-04-02 01:39:56.639124+00,2025-05-20 00:07:55.992146+00,78d9548f-bbcf-4129-a8a7-e0a841a295b3
208,n,132,2025-04-02 01:40:49.141358+00,2025-06-13 00:51:37.743985+00,522f3d6d-e633-426b-bf51-b50dee27ec96
172,f,30,2025-04-02 01:39:49.02997+00,2025-06-11 00:18:09.955783+00,575e0431-1085-4d49-9191-86fd4695b554
197,m,16,2025-04-02 01:40:08.44158+00,2025-06-11 08:38:56.252985+00,6bdcd97d-6502-462a-84f1-b5d3afefa313
145,j,186,2025-04-02 01:39:22.282466+00,2025-06-11 08:29:23.391154+00,7b341d92-c6ef-4d5d-bf17-6551f9842b9f
136,o,211,2025-04-02 01:34:37.949683+00,2025-06-13 01:33:29.181902+00,ff7cd6c3-bd30-42e3-987e-3fafeaea72e9
194,r,19,2025-04-02 01:40:08.437575+00,2025-06-11 08:35:41.864295+00,6bdcd97d-6502-462a-84f1-b5d3afefa313
124,o,322,2025-04-02 01:34:17.550391+00,2025-06-12 10:50:46.076168+00,5f19c80d-8883-42f3-9257-f9f899f703d9
146,g,140,2025-04-02 01:39:22.283794+00,2025-06-11 08:26:12.248336+00,7b341d92-c6ef-4d5d-bf17-6551f9842b9f
201,n,59,2025-04-02 01:40:08.446892+00,2025-06-11 08:38:56.25428+00,6bdcd97d-6502-462a-84f1-b5d3afefa313
164,k,228,2025-04-02 01:39:49.019374+00,2025-06-12 10:53:00.244005+00,575e0431-1085-4d49-9191-86fd4695b554
139,m,62,2025-04-02 01:34:37.953819+00,2025-06-12 05:44:56.604485+00,ff7cd6c3-bd30-42e3-987e-3fafeaea72e9
212,d,41,2025-04-02 01:40:49.147571+00,2025-06-06 11:20:21.21871+00,522f3d6d-e633-426b-bf51-b50dee27ec96
182,i,85,2025-04-02 01:39:56.637796+00,2025-05-23 00:20:20.1989+00,78d9548f-bbcf-4129-a8a7-e0a841a295b3
166,e,286,2025-04-02 01:39:49.022074+00,2025-06-12 10:53:00.245319+00,575e0431-1085-4d49-9191-86fd4695b554
203,t,34,2025-04-02 01:40:08.449559+00,2025-06-11 08:38:56.255589+00,6bdcd97d-6502-462a-84f1-b5d3afefa313
141,e,603,2025-04-02 01:34:37.956471+00,2025-06-13 01:33:29.175342+00,ff7cd6c3-bd30-42e3-987e-3fafeaea72e9
167,u,334,2025-04-02 01:39:49.0234+00,2025-06-12 10:53:00.247914+00,575e0431-1085-4d49-9191-86fd4695b554
127,d,111,2025-04-02 01:34:17.554352+00,2025-06-11 02:44:52.03691+00,5f19c80d-8883-42f3-9257-f9f899f703d9
207,d,11,2025-04-02 01:40:08.454888+00,2025-05-27 09:08:44.936721+00,6bdcd97d-6502-462a-84f1-b5d3afefa313
198,a,53,2025-04-02 01:40:08.442901+00,2025-06-11 08:38:56.256866+00,6bdcd97d-6502-462a-84f1-b5d3afefa313
196,o,42,2025-04-02 01:40:08.440274+00,2025-06-11 08:35:41.868184+00,6bdcd97d-6502-462a-84f1-b5d3afefa313
178,n,96,2025-04-02 01:39:56.632481+00,2025-05-23 00:20:20.200198+00,78d9548f-bbcf-4129-a8a7-e0a841a295b3
157,z,32,2025-04-02 01:39:22.298352+00,2025-06-11 08:09:59.009655+00,7b341d92-c6ef-4d5d-bf17-6551f9842b9f
179,r,54,2025-04-02 01:39:56.633834+00,2025-05-23 00:20:20.204158+00,78d9548f-bbcf-4129-a8a7-e0a841a295b3
214,z,20,2025-04-02 01:40:49.150874+00,2025-06-11 08:37:26.753814+00,522f3d6d-e633-426b-bf51-b50dee27ec96
117,s,245,2025-04-02 01:34:17.541085+00,2025-06-12 10:50:46.077462+00,5f19c80d-8883-42f3-9257-f9f899f703d9
132,a,363,2025-04-02 01:34:37.943521+00,2025-06-13 01:33:29.179264+00,ff7cd6c3-bd30-42e3-987e-3fafeaea72e9
115,u,205,2025-04-02 01:34:17.537979+00,2025-06-12 10:50:46.078757+00,5f19c80d-8883-42f3-9257-f9f899f703d9
133,r,236,2025-04-02 01:34:37.945482+00,2025-06-13 01:33:29.184766+00,ff7cd6c3-bd30-42e3-987e-3fafeaea72e9
202,s,17,2025-04-02 01:40:08.448241+00,2025-06-11 08:38:56.258136+00,6bdcd97d-6502-462a-84f1-b5d3afefa313
142,g,79,2025-04-02 01:34:37.957771+00,2025-06-13 01:33:29.187398+00,ff7cd6c3-bd30-42e3-987e-3fafeaea72e9
192,u,61,2025-04-02 01:39:56.65103+00,2025-05-23 00:20:20.206754+00,78d9548f-bbcf-4129-a8a7-e0a841a295b3
138,y,37,2025-04-02 01:34:37.952492+00,2025-06-13 01:33:29.188696+00,ff7cd6c3-bd30-42e3-987e-3fafeaea72e9
169,n,484,2025-04-02 01:39:49.026029+00,2025-06-12 10:53:00.249223+00,575e0431-1085-4d49-9191-86fd4695b554
209,h,33,2025-04-02 01:40:49.143219+00,2025-06-11 08:37:26.759013+00,522f3d6d-e633-426b-bf51-b50dee27ec96
180,t,57,2025-04-02 01:39:56.635164+00,2025-05-23 00:20:20.209425+00,78d9548f-bbcf-4129-a8a7-e0a841a295b3
193,i,139,2025-04-02 01:40:08.435811+00,2025-06-11 08:38:56.259421+00,6bdcd97d-6502-462a-84f1-b5d3afefa313
135,u,127,2025-04-02 01:34:37.948352+00,2025-06-12 10:44:49.8372+00,ff7cd6c3-bd30-42e3-987e-3fafeaea72e9
184,e,75,2025-04-02 01:39:56.640467+00,2025-05-23 00:20:20.21072+00,78d9548f-bbcf-4129-a8a7-e0a841a295b3
199,k,25,2025-04-02 01:40:08.444228+00,2025-06-11 08:35:41.869571+00,6bdcd97d-6502-462a-84f1-b5d3afefa313
134,d,105,2025-04-02 01:34:37.946977+00,2025-06-12 10:44:49.838495+00,ff7cd6c3-bd30-42e3-987e-3fafeaea72e9
130,f,41,2025-04-02 01:34:17.558302+00,2025-06-12 10:50:46.080056+00,5f19c80d-8883-42f3-9257-f9f899f703d9
163,o,384,2025-04-02 01:39:49.018062+00,2025-06-12 10:53:00.250525+00,575e0431-1085-4d49-9191-86fd4695b554
171,b,45,2025-04-02 01:39:49.028648+00,2025-06-12 10:53:00.251844+00,575e0431-1085-4d49-9191-86fd4695b554
123,m,95,2025-04-02 01:34:17.549061+00,2025-06-12 10:50:46.082797+00,5f19c80d-8883-42f3-9257-f9f899f703d9
126,t,246,2025-04-02 01:34:17.553035+00,2025-06-12 10:50:46.084085+00,5f19c80d-8883-42f3-9257-f9f899f703d9
120,e,333,2025-04-02 01:34:17.545044+00,2025-06-12 10:50:46.085394+00,5f19c80d-8883-42f3-9257-f9f899f703d9
170,r,216,2025-04-02 01:39:49.027345+00,2025-06-12 10:53:00.253157+00,575e0431-1085-4d49-9191-86fd4695b554
116,r,208,2025-04-02 01:34:17.539732+00,2025-06-12 10:50:46.086688+00,5f19c80d-8883-42f3-9257-f9f899f703d9
181,h,25,2025-04-02 01:39:56.636483+00,2025-05-22 05:25:25.624071+00,78d9548f-bbcf-4129-a8a7-e0a841a295b3
122,n,301,2025-04-02 01:34:17.547722+00,2025-06-12 10:50:46.089284+00,5f19c80d-8883-42f3-9257-f9f899f703d9
189,y,17,2025-04-02 01:39:56.64707+00,2025-05-20 00:07:56.002729+00,78d9548f-bbcf-4129-a8a7-e0a841a295b3
204,g,8,2025-04-02 01:40:08.45087+00,2025-04-25 09:54:22.403633+00,6bdcd97d-6502-462a-84f1-b5d3afefa313
125,j,50,2025-04-02 01:34:17.551707+00,2025-06-12 09:22:43.958848+00,5f19c80d-8883-42f3-9257-f9f899f703d9
119,a,397,2025-04-02 01:34:17.543712+00,2025-06-12 10:50:46.093224+00,5f19c80d-8883-42f3-9257-f9f899f703d9
173,g,90,2025-04-02 01:39:49.031272+00,2025-06-06 00:00:24.958261+00,575e0431-1085-4d49-9191-86fd4695b554
190,s,62,2025-04-02 01:39:56.648388+00,2025-05-22 05:25:25.625382+00,78d9548f-bbcf-4129-a8a7-e0a841a295b3
165,m,92,2025-04-02 01:39:49.020691+00,2025-06-10 10:20:51.462016+00,575e0431-1085-4d49-9191-86fd4695b554
177,k,27,2025-04-02 01:39:56.630716+00,2025-05-22 05:25:25.628045+00,78d9548f-bbcf-4129-a8a7-e0a841a295b3
168,s,217,2025-04-02 01:39:49.024708+00,2025-06-12 10:53:00.254448+00,575e0431-1085-4d49-9191-86fd4695b554
161,i,451,2025-04-02 01:39:49.015345+00,2025-06-12 10:53:00.255746+00,575e0431-1085-4d49-9191-86fd4695b554
162,w,54,2025-04-02 01:39:49.016703+00,2025-06-12 10:53:00.257039+00,575e0431-1085-4d49-9191-86fd4695b554
129,k,162,2025-04-02 01:34:17.556989+00,2025-06-12 09:22:43.962756+00,5f19c80d-8883-42f3-9257-f9f899f703d9
402,f,23,2025-04-07 01:16:32.967204+00,2025-06-13 00:38:51.993059+00,99f7fcb9-8b5e-4cdd-a371-35d9c2a8a200
79,o,343,2025-04-02 01:34:08.64035+00,2025-06-13 00:41:41.486539+00,ed7db178-e6d4-4007-8bbe-cd6781641ae6
114,y,145,2025-04-02 01:34:13.404795+00,2025-06-12 05:33:09.687521+00,683c0b43-1d2d-4e5a-b3ee-00de940a021c
143,a,1151,2025-04-02 01:39:22.279376+00,2025-06-11 08:29:23.369996+00,7b341d92-c6ef-4d5d-bf17-6551f9842b9f
394,b,2,2025-04-04 09:27:52.746391+00,2025-04-08 00:15:33.900154+00,8c011ea6-b400-49f2-9db5-2c8ed2b5c3d2
18,r,527,2025-04-02 01:34:00.549721+00,2025-06-12 06:44:37.580419+00,29a91abd-7963-46c8-96ff-3a074cf2d6f5
205,z,3,2025-04-02 01:40:08.45221+00,2025-04-25 09:54:22.271596+00,6bdcd97d-6502-462a-84f1-b5d3afefa313
270,d,131,2025-04-03 02:57:04.679695+00,2025-06-12 07:19:21.107964+00,9f27d136-09de-407f-b405-7120b2d55daa
234,a,724,2025-04-02 01:40:56.705654+00,2025-06-12 09:56:27.27822+00,327e4006-267d-40b0-88bb-2c4e84cefcad
275,s,42,2025-04-03 03:45:35.406049+00,2025-06-13 00:58:53.656338+00,eb06d3ea-4a70-462c-9f56-d5e1979eb96f
159,t,225,2025-04-02 01:39:49.012116+00,2025-06-12 10:53:00.246614+00,575e0431-1085-4d49-9191-86fd4695b554
16,k,403,2025-04-02 01:34:00.547012+00,2025-06-12 06:44:37.584712+00,29a91abd-7963-46c8-96ff-3a074cf2d6f5
150,d,279,2025-04-02 01:39:22.289111+00,2025-06-11 08:29:23.372968+00,7b341d92-c6ef-4d5d-bf17-6551f9842b9f
149,u,841,2025-04-02 01:39:22.287776+00,2025-06-11 08:29:23.375569+00,7b341d92-c6ef-4d5d-bf17-6551f9842b9f
265,w,8,2025-04-02 09:43:28.685025+00,2025-06-11 08:35:41.866884+00,6bdcd97d-6502-462a-84f1-b5d3afefa313
83,a,463,2025-04-02 01:34:08.645733+00,2025-06-13 00:41:41.489558+00,ed7db178-e6d4-4007-8bbe-cd6781641ae6
256,s,87,2025-04-02 04:35:16.870405+00,2025-06-13 00:52:40.22759+00,604a9905-049d-4602-9495-86fa730795bf
75,h,120,2025-04-02 01:34:08.634509+00,2025-06-13 00:41:41.490861+00,ed7db178-e6d4-4007-8bbe-cd6781641ae6
403,v,32,2025-04-07 01:16:33.237052+00,2025-06-13 00:44:05.245966+00,99f7fcb9-8b5e-4cdd-a371-35d9c2a8a200
223,y,544,2025-04-02 01:40:56.690869+00,2025-06-12 09:56:27.279507+00,327e4006-267d-40b0-88bb-2c4e84cefcad
111,z,96,2025-04-02 01:34:13.40082+00,2025-06-12 05:38:18.202247+00,683c0b43-1d2d-4e5a-b3ee-00de940a021c
221,s,115,2025-04-02 01:40:49.160421+00,2025-06-11 08:37:26.747142+00,522f3d6d-e633-426b-bf51-b50dee27ec96
174,y,107,2025-04-02 01:39:49.032577+00,2025-06-12 00:22:12.407703+00,575e0431-1085-4d49-9191-86fd4695b554
147,e,935,2025-04-02 01:39:22.285126+00,2025-06-11 08:29:23.379477+00,7b341d92-c6ef-4d5d-bf17-6551f9842b9f
