
score_id,score,created_at,updated_at,diff_id,lang_id,user_id,accuracy,typing_count
41,3533,2025-04-03 04:59:03.308+00,2025-04-03 04:59:03.308011+00,2,1,522f3d6d-e633-426b-bf51-b50dee27ec96,0.92,384
42,1183,2025-04-03 04:59:35.066592+00,2025-04-03 04:59:35.066607+00,2,1,7b341d92-c6ef-4d5d-bf17-6551f9842b9f,0.73,162
43,2046,2025-04-03 05:01:21.690414+00,2025-04-03 05:01:21.690424+00,2,1,575e0431-1085-4d49-9191-86fd4695b554,0.79,259
44,4004,2025-04-03 05:01:22.026739+00,2025-04-03 05:01:22.026749+00,2,1,5f19c80d-8883-42f3-9257-f9f899f703d9,0.88,455
45,1043,2025-04-03 05:06:13.798622+00,2025-04-03 05:06:13.798634+00,2,1,7b341d92-c6ef-4d5d-bf17-6551f9842b9f,0.79,132
46,3705,2025-04-03 05:08:50.008084+00,2025-04-03 05:08:50.008092+00,2,1,683c0b43-1d2d-4e5a-b3ee-00de940a021c,0.88,421
47,3704,2025-04-03 05:09:29.154855+00,2025-04-03 05:09:29.154868+00,2,1,522f3d6d-e633-426b-bf51-b50dee27ec96,0.94,394
48,3230,2025-04-03 07:22:10.958024+00,2025-04-03 07:22:10.958037+00,2,1,318b4c0b-52f5-43c0-ad13-b41e1baf03c9,0.91,355
49,2948,2025-04-03 07:44:10.335838+00,2025-04-03 07:44:10.335849+00,2,1,ff7cd6c3-bd30-42e3-987e-3fafeaea72e9,0.91,324
50,2701,2025-04-03 07:53:12.993514+00,2025-04-03 07:53:12.993527+00,2,1,29a91abd-7963-46c8-96ff-3a074cf2d6f5,0.73,370
51,3086,2025-04-03 07:56:43.385543+00,2025-04-03 07:56:43.385555+00,2,1,29a91abd-7963-46c8-96ff-3a074cf2d6f5,0.81,381
52,3849,2025-04-03 08:16:26.207732+00,2025-04-03 08:16:26.207743+00,2,1,683c0b43-1d2d-4e5a-b3ee-00de940a021c,0.91,423
53,2547,2025-04-03 08:24:42.613431+00,2025-04-03 08:24:42.61344+00,2,1,604a9905-049d-4602-9495-86fa730795bf,0.94,271
54,3420,2025-04-03 08:54:04.786039+00,2025-04-03 08:54:04.786049+00,2,1,ff7cd6c3-bd30-42e3-987e-3fafeaea72e9,0.98,349
55,3612,2025-04-03 08:59:40.934275+00,2025-04-03 08:59:40.934289+00,2,1,683c0b43-1d2d-4e5a-b3ee-00de940a021c,0.85,425
56,2558,2025-04-03 09:29:36.819154+00,2025-04-03 09:29:36.819164+00,2,1,ed7db178-e6d4-4007-8bbe-cd6781641ae6,0.85,301
57,2138,2025-04-03 09:51:09.275779+00,2025-04-03 09:51:09.275788+00,2,1,327e4006-267d-40b0-88bb-2c4e84cefcad,0.75,285
